lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
38807,7,1,281,1,2025-04-29 23:04:23.373000000
38807,7,2,81,1,2025-04-29 23:04:23.380000000
38809,6,1,0,1,2025-04-29 23:04:23.383000000
38812,7,1,81,1,2025-04-29 23:04:23.420000000
38814,3,1,372,1,2025-04-29 23:04:17.507000000
38816,3,1,372,1,2025-04-29 23:04:17.510000000
38822,7,1,372,1,2025-04-29 23:04:19.643000000
38824,9,1,281,1,2025-04-29 23:04:17.510000000
38826,7,1,281,1,2025-04-29 23:04:17.513000000
38835,6,1,372,1,2025-04-29 23:04:19.137000000
38837,5,1,281,1,2025-04-29 23:04:19.140000000
38837,7,1,281,1,2025-04-29 23:04:19.140000000
38839,9,1,0,1,2025-04-29 23:04:19.140000000
38841,7,1,11,2,2021-02-24 17:00:08.553000000
38841,7,2,176,2,2021-02-24 17:00:08.557000000
38841,7,3,15,1,2021-02-24 17:00:08.557000000
38841,14,1,11,1,2025-04-29 23:04:19.143000000
38841,14,2,15,1,2025-04-29 23:04:19.143000000
38841,14,3,176,1,2025-04-29 23:04:19.143000000
38841,16,1,11,1,2025-04-29 23:04:19.143000000
38841,16,2,15,1,2025-04-29 23:04:19.143000000
38841,16,3,176,1,2025-04-29 23:04:19.143000000
38902,11,1,131,1,2025-04-29 23:04:17.513000000
38902,11,2,232,1,2025-04-29 23:04:17.517000000
38902,11,3,217,1,2025-04-29 23:04:17.517000000
38902,11,4,47,1,2025-04-29 23:04:17.520000000
38902,11,5,139,1,2025-04-29 23:04:17.520000000
38902,11,6,315,1,2025-04-29 23:04:17.520000000
38904,10,1,131,1,2025-04-29 23:04:17.523000000
38904,10,2,232,1,2025-04-29 23:04:17.523000000
38904,10,3,217,1,2025-04-29 23:04:17.527000000
38904,10,4,47,1,2025-04-29 23:04:17.527000000
38904,10,5,139,1,2025-04-29 23:04:17.530000000
38904,10,6,315,1,2025-04-29 23:04:17.530000000
38914,20,1,64,1,2025-04-29 23:04:16.920000000
38914,20,2,69,1,2025-04-29 23:04:16.920000000
38914,20,3,129,1,2025-04-29 23:04:16.923000000
38916,8,1,0,1,2025-04-29 23:04:23.420000000
38918,8,1,0,1,2025-04-29 23:04:16.923000000
38920,11,1,0,1,2025-04-29 23:04:19.647000000
38926,23,1,60,1,2025-04-29 23:04:16.927000000
38926,23,2,213,1,2025-04-29 23:04:16.927000000
38926,23,3,9,1,2025-04-29 23:04:16.930000000
38926,23,4,239,1,2025-04-29 23:04:16.930000000
38937,6,1,217,1,2025-04-29 23:04:23.580000000
38953,16,1,0,1,2025-04-29 23:04:18.297000000
38955,24,1,0,1,2025-04-29 23:04:18.297000000
38966,5,1,372,1,2025-04-29 23:04:15.387000000
38968,4,1,101,1,2025-04-29 23:04:23.730000000
38968,4,2,372,1,2025-04-29 23:04:23.730000000
38970,8,1,0,1,2025-04-29 23:04:24.030000000
38972,8,1,372,1,2025-04-29 23:04:17.530000000
38974,8,1,372,1,2025-04-29 23:04:17.533000000
38985,13,1,0,1,2025-04-29 23:04:15.390000000
38988,11,1,53,1,2025-04-29 23:04:15.393000000
38988,11,2,352,1,2025-04-29 23:04:15.393000000
38988,11,3,361,1,2025-04-29 23:04:15.397000000
38988,11,4,365,1,2025-04-29 23:04:15.400000000
38988,11,5,369,1,2025-04-29 23:04:15.400000000
38988,11,6,335,1,2025-04-29 23:04:15.403000000
38988,15,1,53,1,2025-04-29 23:04:15.417000000
38988,15,2,352,1,2025-04-29 23:04:15.420000000
38988,15,3,361,1,2025-04-29 23:04:15.420000000
38988,15,4,365,1,2025-04-29 23:04:15.423000000
38988,15,5,369,1,2025-04-29 23:04:15.423000000
38988,15,6,335,1,2025-04-29 23:04:15.427000000
38992,14,1,0,1,2025-04-29 23:04:19.647000000
38994,14,1,0,1,2025-04-29 23:04:24.033000000
38997,8,1,0,1,2025-04-29 23:04:19.650000000
38997,9,1,0,1,2025-04-29 23:04:19.650000000
39001,8,1,53,1,2025-04-29 23:04:17.533000000
39001,8,2,352,1,2025-04-29 23:04:17.537000000
39001,8,3,361,1,2025-04-29 23:04:17.537000000
39001,8,4,365,1,2025-04-29 23:04:17.540000000
39001,8,5,369,1,2025-04-29 23:04:17.540000000
39001,8,6,335,1,2025-04-29 23:04:17.543000000
39001,11,1,53,1,2025-04-29 23:04:17.553000000
39001,11,2,352,1,2025-04-29 23:04:17.557000000
39001,11,3,361,1,2025-04-29 23:04:17.557000000
39001,11,4,365,1,2025-04-29 23:04:17.560000000
39001,11,5,369,1,2025-04-29 23:04:17.560000000
39001,11,6,335,1,2025-04-29 23:04:17.560000000
39003,8,1,53,1,2025-04-29 23:04:17.563000000
39003,8,2,352,1,2025-04-29 23:04:17.563000000
39003,8,3,361,1,2025-04-29 23:04:17.567000000
39003,8,4,365,1,2025-04-29 23:04:17.567000000
39003,8,5,369,1,2025-04-29 23:04:17.570000000
39003,8,6,335,1,2025-04-29 23:04:17.570000000
39003,10,1,53,1,2025-04-29 23:04:17.583000000
39003,10,2,352,1,2025-04-29 23:04:17.583000000
39003,10,3,361,1,2025-04-29 23:04:17.587000000
39003,10,4,365,1,2025-04-29 23:04:17.587000000
39003,10,5,369,1,2025-04-29 23:04:17.590000000
39003,10,6,335,1,2025-04-29 23:04:17.590000000
39005,6,1,0,1,2025-04-29 23:04:17.593000000
39007,7,1,0,1,2025-04-29 23:04:17.593000000
39015,12,1,0,1,2025-04-29 23:04:19.650000000
39017,8,1,372,1,2025-04-29 23:04:19.653000000
39017,9,2,372,1,2025-04-29 23:04:19.653000000
39023,22,1,217,1,2025-04-29 23:04:19.657000000
39023,23,1,217,1,2025-04-29 23:04:19.660000000
39025,5,1,0,1,2025-04-29 23:04:24.037000000
39027,5,1,0,1,2025-04-29 23:04:23.600000000
39036,15,1,0,1,2025-04-29 23:04:23.050000000
39038,9,1,53,1,2025-04-29 23:04:19.660000000
39038,9,2,352,1,2025-04-29 23:04:19.660000000
39038,9,3,361,1,2025-04-29 23:04:19.663000000
39038,9,4,365,1,2025-04-29 23:04:19.667000000
39038,9,5,369,1,2025-04-29 23:04:19.667000000
39038,9,6,335,1,2025-04-29 23:04:19.670000000
39038,11,1,53,1,2025-04-29 23:04:19.683000000
39038,11,2,352,1,2025-04-29 23:04:19.683000000
39038,11,3,361,1,2025-04-29 23:04:19.687000000
39038,11,4,365,1,2025-04-29 23:04:19.690000000
39038,11,5,369,1,2025-04-29 23:04:19.690000000
39038,11,6,335,1,2025-04-29 23:04:19.693000000
39040,6,1,372,1,2025-04-29 23:04:19.147000000
39042,5,1,0,1,2025-04-29 23:04:19.150000000
39042,7,1,0,1,2025-04-29 23:04:19.150000000
39044,9,1,53,1,2025-04-29 23:04:19.150000000
39044,9,2,352,1,2025-04-29 23:04:19.150000000
39044,9,3,361,1,2025-04-29 23:04:19.153000000
39044,9,4,365,1,2025-04-29 23:04:19.157000000
39044,9,5,369,1,2025-04-29 23:04:19.157000000
39044,9,6,335,1,2025-04-29 23:04:19.160000000
39044,11,1,53,1,2025-04-29 23:04:19.173000000
39044,11,2,352,1,2025-04-29 23:04:19.173000000
39044,11,3,361,1,2025-04-29 23:04:19.177000000
39044,11,4,365,1,2025-04-29 23:04:19.180000000
39044,11,5,369,1,2025-04-29 23:04:19.180000000
39044,11,6,335,1,2025-04-29 23:04:19.183000000
39044,13,1,53,1,2025-04-29 23:04:19.173000000
39044,13,2,352,1,2025-04-29 23:04:19.173000000
39044,13,3,361,1,2025-04-29 23:04:19.177000000
39044,13,4,365,1,2025-04-29 23:04:19.180000000
39044,13,5,369,1,2025-04-29 23:04:19.180000000
39044,13,6,335,1,2025-04-29 23:04:19.183000000
39051,7,1,64,1,2021-08-31 13:40:57.013000000
39051,7,2,338,1,2021-08-31 13:40:57.017000000
39051,7,3,129,1,2021-08-31 13:40:57.017000000
39051,10,1,64,1,2025-04-29 23:04:19.183000000
